class,f1,f2,f3,f4,f5,f6
0.0,0.03174266481315766,0.3370588298492089,0.05982415353981598,0.31806815977562497,0.8845826287372162,0.18632780790301626
0.0,0.019580271406896617,0.7076570346494361,0.08558787118235678,0.1686633593481836,0.7839833019402818,0.2377111492255149
0.0,0.02477867980071824,0.5437683725560051,0.005788748781903216,0.04792542733900282,0.721109887987573,0.14551089885151539
0.0,0.3150808398906885,0.3965418149226606,0.030730619146748822,0.2157385995189569,0.9162145879922274,0.022590462246655587
0.0,0.28672000489167393,0.6544736689110018,0.05321396609083014,0.1442701473069005,0.7668865608230095,0.095759235082983
0.0,0.2423714112253162,0.03426063854582928,0.08292252204796507,0.3845631654407591,0.8593800539584066,0.01696013799555114
0.0,0.339076250749402,0.6286035395304057,0.04963854467891136,0.10205720220732648,0.7610834464513059,0.12805158904848893
0.0,0.06288768082806802,0.4828597846976502,0.05681975765441578,0.3201459407744542,0.8016733075431854,0.0030778825740754934
0.0,0.004897143420019497,0.49897664776790696,0.05813736255918286,0.05820830262259458,0.8984263870663403,0.07907044377228745
0.0,0.08573730635383871,0.022872551335774594,0.0685406965608491,0.25297880238380466,0.8804261472932898,0.12995637573474755
0.0,0.0034984390172079207,0.18316681179448707,0.05986981125429603,0.4918171343720146,0.8056323322259904,0.05654437588093756
0.0,0.0008350665445801705,0.2780857973293237,0.06893403804653714,0.20219596888616492,0.7556243435908778,0.8181490060431551
0.0,0.0014749162304231156,0.8978346592899926,0.0604356936015177,0.21619776649366376,0.8692969116072267,1.0
0.0,0.09834827810738683,0.385848247646035,0.06683866388224738,0.38282516241775094,0.8199993873533507,0.28760070651213016
0.0,0.046379255032404025,0.3509196720007469,0.1767050066560094,0.14778577109528435,0.7555307494454095,0.17119696657095831
0.0,0.012516740362233906,0.5441945492344559,0.02145641613418727,0.3005733746472913,0.8342357392296652,0.07246666582844336
0.0,0.0,0.838906105981118,0.06313688185347285,0.33786801224421115,0.7124204947996147,0.06795514271333775
0.0,0.4265807590069552,0.6392630877928533,0.05668273418405916,0.09667076902674117,0.775767454141746,0.20029602246939512
0.0,0.46219958278806356,1.0,0.05785353842549908,0.40443031554157094,0.9578704177133043,0.015395014098576958
0.0,0.005451619207715209,0.5691865062014079,0.04991326395639207,0.203048488937469,0.9001129345821043,0.05635271848748537
0.0,0.004816135100672813,0.08256844952259601,0.05453204951325669,0.07498098985988266,0.6578141380528407,0.1868847613727631
0.0,0.06660064258826487,0.2893065262186173,0.07651329186947159,0.15038089248836922,0.7055079354447804,0.24393083055050832
0.0,0.004672230888994718,0.8026686111777837,0.041345714649793135,0.5839273083507696,0.7366665198926019,0.2832328225498831
0.0,0.03738711181618925,0.43651067347875167,0.03994887827731552,0.5484271561132269,0.874574166776758,0.00800504146777513
0.0,0.16808119069058902,0.32990401775084166,0.05964447950770751,0.1434367176161323,0.723336395442397,0.1609546249554647
0.0,0.01399730262775096,0.14794893079105936,0.04958575569892124,0.31005963234135775,0.845951292985622,0.6900640737501741
0.0,0.012011497483535683,0.6874730065436222,0.03857664434164688,0.12946101264068804,0.7657056205925247,0.14204083141632975
0.0,0.008950945616853855,0.3479006406253033,0.0,0.1637663240031508,0.7376879204090063,0.0021277550919951713
0.0,0.034885845834056024,0.47244499803812495,0.05738050185996823,0.807344508410074,0.8526104589088322,0.017427519474520283
0.0,0.08766502886638158,0.6320423890250191,0.05975343102039691,0.2872645285776066,0.7265771684949814,0.9561475014603966
0.0,0.0116266743259567,0.4807379059428492,0.0683464878668969,0.27633001209552677,0.9469489849382353,0.022350454838280454
0.0,0.012544134747768478,0.2563823654709667,0.06652279321232066,0.0935949949157406,0.8274119834340358,0.12276381295339747
0.0,0.02682585420214701,0.624181391320081,0.05488120100052266,0.26626934993524,0.7097760962925135,0.27032381343163103
0.0,0.05397405649368605,0.5007211459500492,0.07920281065728399,0.4159569534120392,0.7829607613515759,0.05440762681206928
0.0,0.0008339782879578561,0.664805310170241,0.09502100837784846,0.2628694557386396,0.6590902983216043,0.19242692799491554
0.0,0.00225076921940024,0.5298117775603512,0.05633512048889248,0.14432090115961507,0.8821313751828421,0.08116438025649601
0.0,0.12868743718936276,0.42194041672060667,0.052030064395000346,0.017951676645434397,0.9337661954557264,0.35600415729825535
0.0,0.02523686853435786,0.3921014304789152,0.034495030834355137,0.3690842632805575,0.7829448975935259,0.611960733264414
0.0,0.12462876585257247,0.8213065098042109,0.05179726434835285,0.18573707522355068,0.6796019090087976,0.026768946099720536
0.0,0.04619986713762892,0.48162244519520964,0.04881641884099817,0.7554971959127673,0.8703004784758238,0.24886263600260652
0.0,0.00790456746620644,0.0,0.0590257034666379,0.15582500930908927,0.8318197574808298,0.31620423725544144
0.0,0.4867609632950467,0.47891754000536346,0.022106196103799595,0.0,0.7914592669347578,0.11630767605627307
