Library service,Library name,In use 2010,In use 2016,Type of library,Type of closed library,Closed,New building,Replace existing,Notes,Weekly hours open,Weekly hours staffed
Leeds,Osmondthorpe,yes,no,,XL,2011,,,,,
Leeds,Otley library and tourist information,yes,yes,LAL,,,,,,53.0,53.0
Leeds,Pudsey library,yes,yes,LAL,,,,,,49.0,49.0
Leeds,Richmond Hill,yes,no,,XL,2011,,,,,
Leeds,Rothwell library,yes,yes,LAL,,,,,,52.0,52.0
Leeds,Scholes library,yes,yes,LAL,,,,,,8.0,8.0
Leeds,Seacroft library,yes,yes,LAL,,,,,,37.0,37.0
Leeds,Swarcliffe,yes,no,,XL,2011,,,,,
Leeds,Swillington,yes,no,,XL,2011,,,,,
Leeds,Swinnow,yes,no,,XL,2011,,,,,
Leeds,Wetherby library and tourist information,yes,yes,LAL,,,,,,47.0,47.0
Leeds,Whinmoor library,yes,yes,LAL,,,,,,10.0,10.0
Leeds,Yeadon library,yes,yes,LAL,,,,,,46.0,46.0
Leicester City,Aylestone Library,yes,yes,LAL,,,2013,Yes,Aylestone Library relocated from Richmond Rd to Aylestone Leisure Centre in 2013 at a cost of Σ40k. ,32.0,32.0
Leicester City,Beaumont Leys Library,yes,yes,LAL,,,,,,49.5,49.5
Leicester City,Belgrave Library,yes,yes,LAL,,,,,,55.0,55.0
