Library service,Library name,In use 2010,In use 2016,Type of library,Type of closed library,Closed,New building,Replace existing,Notes,Weekly hours open,Weekly hours staffed
Leeds,Gildersome library,yes,yes,LAL,,,,,,11.0,11.0
Leeds,Guiseley library,yes,yes,LAL,,,,,,38.0,38.0
Leeds,Halton library,yes,yes,LAL,,,,,,41.0,41.0
Leeds,Headingley library,yes,yes,LAL,,,,,,56.0,56.0
Leeds,Holbeck,yes,no,,XL,2011,,,,,
Leeds,Holt Park library,yes,yes,LAL,,,,,,48.0,48.0
Leeds,Horsforth library,yes,yes,LAL,,,,,,51.0,51.0
Leeds,Hunslet library,yes,yes,LAL,,,,,,24.0,24.0
Leeds,Ireland Wood,yes,no,,XL,2011,,,,,
Leeds,Kippax library,yes,yes,LAL,,,,,,24.0,24.0
Leeds,Kirkstall,yes,no,,XL,2011,,,,,
Leeds,Leeds Central library,yes,yes,LAL,,,,,,58.0,58.0
Leeds,Lofthouse,yes,no,,XL,2011,,,,,
Leeds,Methley library,yes,no,,XL,2015,,,,,
Leeds,Middleton library,yes,yes,LAL,,,,,,31.0,31.0
Leeds,Moor Allerton library,yes,yes,LAL,,,,,,58.0,58.0
Leeds,Morley library,yes,yes,LAL,,,,,,49.0,49.0
Leeds,Oakwood library,yes,yes,LAL,,,,,,40.0,40.0
